Дата;Регион;Значение
2019-06-01;Волгоградская область;-13.37
2019-06-01;Вологодская область;-5.93
2019-06-01;Воронежская область;16.46
2019-06-01;Еврейская автономная область;4.20
2019-06-01;Забайкальский край;1.24
2019-06-01;Ивановская область;10.47
2019-06-01;Иркутская область;-4.26
2019-06-01;Кабардино-Балкарская Республика;11.18
2019-06-01;Калининградская область;-9.52
2019-06-01;Калужская область;25.51
2019-06-01;Камчатский край;16.24
2019-06-01;Кемеровская область;11.26
2019-06-01;Кировская область;20.78
2019-06-01;Костромская область;13.16
2019-06-01;Краснодарский край;15.15
2019-06-01;Красноярский край;12.34
2019-06-01;Курганская область;23.35
2019-06-01;Курская область;7.02
2019-06-01;Ленинградская область;15.44
2019-06-01;Липецкая область;10.69
2019-06-01;Магаданская область;-4.99
2019-06-01;Мордовия;-15.00
2019-06-01;Москва;10.07
2019-06-01;Московская область;10.07
2019-06-01;Мурманская область;2.34
2019-06-01;Нижегородская область;3.57
2019-06-01;Новгородская область;-6.59
2019-06-01;Новосибирская область;16.33
2019-06-01;Омская область;3.26
2019-06-01;Оренбургская область;3.97
2019-06-01;Орловская область;0.12
2019-06-01;Пензенская область;16.71
2019-06-01;Пермский край;3.51
2019-06-01;Приморский край;10.84
2019-06-01;Псковская область;-0.57
2019-06-01;Республика Башкортостан;-4.11
2019-06-01;Республика Бурятия;-1.37
2019-06-01;Республика Дагестан;7.69
2019-06-01;Республика Ингушетия;3.09
2019-06-01;Республика Калмыкия;13.79
2019-06-01;Республика Карачаево-Черкессия;34.02
2019-06-01;Республика Карелия;2.37
2019-06-01;Республика Коми;4.83
2019-06-01;Республика Марий Эл;12.96
2019-06-01;Республика Саха (Якутия);23.56
2019-06-01;Республика Северная Осетия-Алания;45.54
2019-06-01;Республика Татарстан;1.51
2019-06-01;Республика Тыва;0.54
2019-06-01;Республика Хакасия;10.56
2019-06-01;Ростовская область;8.75
2019-06-01;Рязанская область;18.48
2019-06-01;Самарская область;-8.94
2019-06-01;Санкт-Петербург;15.44
2019-06-01;Саратовская область;-4.61
2019-06-01;Сахалинская область;4.77
2019-06-01;Свердловская область;2.75
2019-06-01;Смоленская область;8.09
2019-06-01;Ставропольский край;15.69
2019-06-01;Тамбовская область;2.74
2019-06-01;Тверская область;26.64
2019-06-01;Томская область;16.48
2019-06-01;Тульская область;15.87
2019-06-01;Тюменская область;4.27
2019-06-01;Удмуртская Республика;8.67
2019-06-01;Ульяновская область;5.75
2019-06-01;Хабаровский край;6.32
2019-06-01;Ханты-Мансийский АО - Югра;4.27
2019-06-01;Челябинская область;3.88
2019-06-01;Чеченская Республика;24.01
2019-06-01;Чувашская Республика;-6.55
2019-06-01;Чукотский АО;-11.21
2019-06-01;Ямало-Ненецкий АО;4.27
2019-06-01;Ярославская область;11.41
2019-07-01;Россия;16.85
2019-07-01;Адыгея;34.29
2019-07-01;Алтай;32.78
2019-07-01;Алтайский край;0.84
2019-07-01;Амурская область;15.23
2019-07-01;Архангельская область;6.54
2019-07-01;Астраханская область;18.14
2019-07-01;Белгородская область;-0.49
2019-07-01;Брянская область;4.68
2019-07-01;Владимирская область;26.01
2019-07-01;Волгоградская область;7.40
2019-07-01;Вологодская область;4.21
2019-07-01;Воронежская область;26.28
2019-07-01;Еврейская автономная область;21.61
2019-07-01;Забайкальский край;-0.97
2019-07-01;Ивановская область;13.78
2019-07-01;Иркутская область;2.98
2019-07-01;Кабардино-Балкарская Республика;23.10
2019-07-01;Калининградская область;16.11
2019-07-01;Калужская область;32.55
2019-07-01;Камчатский край;9.44
2019-07-01;Кемеровская область;13.31
2019-07-01;Кировская область;17.23
2019-07-01;Костромская область;21.13
2019-07-01;Краснодарский край;23.61
2019-07-01;Красноярский край;15.29
2019-07-01;Курганская область;27.91
2019-07-01;Курская область;12.76
2019-07-01;Ленинградская область;23.24
2019-07-01;Липецкая область;23.61
2019-07-01;Магаданская область;-4.58
2019-07-01;Мордовия;19.96
2019-07-01;Москва;16.55
2019-07-01;Московская область;16.55
2019-07-01;Мурманская область;12.06
2019-07-01;Нижегородская область;3.93
2019-07-01;Новгородская область;6.78
2019-07-01;Новосибирская область;26.17
2019-07-01;Омская область;6.05
2019-07-01;Оренбургская область;9.05
2019-07-01;Орловская область;10.49
2019-07-01;Пензенская область;27.05
2019-07-01;Пермский край;5.29
2019-07-01;Приморский край;4.77
2019-07-01;Псковская область;10.16
2019-07-01;Республика Башкортостан;-2.80
2019-07-01;Республика Бурятия;9.82
2019-07-01;Республика Дагестан;0.78
2019-07-01;Республика Ингушетия;9.72
2019-07-01;Республика Калмыкия;19.59
2019-07-01;Республика Карачаево-Черкессия;60.34
2019-07-01;Республика Карелия;19.24
2019-07-01;Республика Коми;0.94
2019-07-01;Республика Марий Эл;10.88
2019-07-01;Республика Саха (Якутия);11.97
2019-07-01;Республика Северная Осетия-Алания;25.60
2019-07-01;Республика Татарстан;8.79
2019-07-01;Республика Тыва;-7.53
2019-07-01;Республика Хакасия;13.44
2019-07-01;Ростовская область;21.70
2019-07-01;Рязанская область;27.19
2019-07-01;Самарская область;6.42
2019-07-01;Санкт-Петербург;23.24
2019-07-01;Саратовская область;7.79
2019-07-01;Сахалинская область;-5.06
2019-07-01;Свердловская область;14.06
2019-07-01;Смоленская область;13.35
2019-07-01;Ставропольский край;18.28
2019-07-01;Тамбовская область;12.32
2019-07-01;Тверская область;29.71
2019-07-01;Томская область;20.96
2019-07-01;Тульская область;24.29
2019-07-01;Тюменская область;9.22
2019-07-01;Удмуртская Республика;16.78
2019-07-01;Ульяновская область;15.91
2019-07-01;Хабаровский край;6.93
2019-07-01;Ханты-Мансийский АО - Югра;9.22
2019-07-01;Челябинская область;9.47
2019-07-01;Чеченская Республика;28.91
2019-07-01;Чувашская Республика;-0.85
2019-07-01;Чукотский АО;-15.25
2019-07-01;Ямало-Ненецкий АО;9.22
2019-07-01;Ярославская область;15.78
2019-08-01;Россия;11.36
2019-08-01;Адыгея;28.55
2019-08-01;Алтай;30.65
2019-08-01;Алтайский край;1.79
2019-08-01;Амурская область;9.94
2019-08-01;Архангельская область;0.41
2019-08-01;Астраханская область;16.20
2019-08-01;Белгородская область;-3.28
2019-08-01;Брянская область;-3.44
2019-08-01;Владимирская область;19.01
2019-08-01;Волгоградская область;-0.71
2019-08-01;Вологодская область;0.02
2019-08-01;Воронежская область;22.37
2019-08-01;Еврейская автономная область;8.36
2019-08-01;Забайкальский край;-10.04
2019-08-01;Ивановская область;10.68
2019-08-01;Иркутская область;-1.31
2019-08-01;Кабардино-Балкарская Республика;13.59
2019-08-01;Калининградская область;21.27
2019-08-01;Калужская область;23.98
2019-08-01;Камчатский край;14.78
2019-08-01;Кемеровская область;11.86
2019-08-01;Кировская область;8.83
2019-08-01;Костромская область;15.26
2019-08-01;Краснодарский край;17.06
2019-08-01;Красноярский край;11.40
2019-08-01;Курганская область;26.20
2019-08-01;Курская область;5.86
2019-08-01;Ленинградская область;18.50
2019-08-01;Липецкая область;15.86
2019-08-01;Магаданская область;-6.06
2019-08-01;Мордовия;29.87
2019-08-01;Москва;11.22
2019-08-01;Московская область;11.22
2019-08-01;Мурманская область;1.80
2019-08-01;Нижегородская область;2.96
2019-08-01;Новгородская область;3.83
2019-08-01;Новосибирская область;17.63
2019-08-01;Омская область;-0.18
2019-08-01;Оренбургская область;1.38
2019-08-01;Орловская область;1.28
2019-08-01;Пензенская область;16.90
2019-08-01;Пермский край;3.92
2019-08-01;Приморский край;-7.64
